2026-07-16 19:41:54 | INFO     | SAPIncidentRAG | Batch 231-240 inserted successfully.
2026-07-16 19:41:56 | INFO     | SAPIncidentRAG | Batch 241-250 inserted successfully.
2026-07-16 19:41:56 | INFO     | SAPIncidentRAG | Vector Store Created Successfully.
2026-07-16 19:41:56 | INFO     | SAPIncidentRAG | Retrieving Top-5 documents...
2026-07-16 19:41:56 | INFO     | SAPIncidentRAG | Running similarity search...
2026-07-16 19:49:43 | INFO     | SAPIncidentRAG | Initializing Gemini Embedding Model...
2026-07-16 19:49:44 | INFO     | SAPIncidentRAG | Gemini Embedding Model Initialized Successfully.
2026-07-16 19:49:44 | INFO     | SAPIncidentRAG | Loading Excel dataset...
2026-07-16 19:49:45 | INFO     | SAPIncidentRAG | Dataset loaded successfully (250 rows).
2026-07-16 19:49:45 | INFO     | SAPIncidentRAG | Dataset schema validated.
2026-07-16 19:49:45 | INFO     | SAPIncidentRAG | Starting data cleaning...
2026-07-16 19:49:45 | INFO     | SAPIncidentRAG | Data cleaning completed.
2026-07-16 19:49:45 | INFO     | SAPIncidentRAG | Building LangChain Documents...
2026-07-16 19:49:45 | INFO     | SAPIncidentRAG | 250 Documents Created
2026-07-16 19:49:45 | INFO     | SAPIncidentRAG | Starting document chunking...
2026-07-16 19:49:45 | INFO     | SAPIncidentRAG | Chunking completed. 250 chunks created.
2026-07-16 19:49:45 | INFO     | SAPIncidentRAG | Loading Chroma Vector Store...
2026-07-16 19:49:45 | INFO     | SAPIncidentRAG | Vector Store loaded successfully.
2026-07-16 19:49:45 | INFO     | SAPIncidentRAG | Retrieving Top-5 documents...
2026-07-16 19:49:45 | INFO     | SAPIncidentRAG | Running similarity search...
2026-07-16 19:53:35 | INFO     | SAPIncidentRAG | Initializing Gemini Chat Model...
2026-07-16 19:53:36 | INFO     | SAPIncidentRAG | Gemini Chat Model Initialized Successfully.
2026-07-16 19:57:23 | INFO     | SAPIncidentRAG | Initializing Gemini Embedding Model...
2026-07-16 19:57:25 | INFO     | SAPIncidentRAG | Gemini Embedding Model Initialized Successfully.
2026-07-16 19:57:25 | INFO     | SAPIncidentRAG | Loading Excel dataset...
2026-07-16 19:57:25 | INFO     | SAPIncidentRAG | Dataset loaded successfully (250 rows).
2026-07-16 19:57:25 | INFO     | SAPIncidentRAG | Dataset schema validated.
2026-07-16 19:57:25 | INFO     | SAPIncidentRAG | Starting data cleaning...
2026-07-16 19:57:25 | INFO     | SAPIncidentRAG | Data cleaning completed.
2026-07-16 19:57:25 | INFO     | SAPIncidentRAG | Building LangChain Documents...
2026-07-16 19:57:25 | INFO     | SAPIncidentRAG | 250 Documents Created
2026-07-16 19:57:25 | INFO     | SAPIncidentRAG | Starting document chunking...
2026-07-16 19:57:25 | INFO     | SAPIncidentRAG | Chunking completed. 250 chunks created.
2026-07-16 19:57:25 | INFO     | SAPIncidentRAG | Loading Chroma Vector Store...
2026-07-16 19:57:26 | INFO     | SAPIncidentRAG | Vector Store loaded successfully.
2026-07-16 19:57:26 | INFO     | SAPIncidentRAG | Retrieving Top-5 documents...
2026-07-16 19:57:26 | INFO     | SAPIncidentRAG | Running similarity search...
2026-07-16 19:57:27 | INFO     | SAPIncidentRAG | Initializing Gemini Chat Model...
2026-07-16 19:57:29 | INFO     | SAPIncidentRAG | Gemini Chat Model Initialized Successfully.
2026-07-16 20:03:28 | INFO     | SAPIncidentRAG | Initializing Gemini Embedding Model...
2026-07-16 20:03:30 | INFO     | SAPIncidentRAG | Gemini Embedding Model Initialized Successfully.
2026-07-16 20:03:30 | INFO     | SAPIncidentRAG | Loading Excel dataset...
2026-07-16 20:03:30 | INFO     | SAPIncidentRAG | Dataset loaded successfully (250 rows).
2026-07-16 20:03:30 | INFO     | SAPIncidentRAG | Dataset schema validated.
2026-07-16 20:03:30 | INFO     | SAPIncidentRAG | Starting data cleaning...
2026-07-16 20:03:30 | INFO     | SAPIncidentRAG | Data cleaning completed.
2026-07-16 20:03:30 | INFO     | SAPIncidentRAG | Building LangChain Documents...
2026-07-16 20:03:30 | INFO     | SAPIncidentRAG | 250 Documents Created
2026-07-16 20:03:30 | INFO     | SAPIncidentRAG | Starting document chunking...
2026-07-16 20:03:30 | INFO     | SAPIncidentRAG | Chunking completed. 250 chunks created.
2026-07-16 20:03:30 | INFO     | SAPIncidentRAG | Loading Chroma Vector Store...
2026-07-16 20:03:31 | INFO     | SAPIncidentRAG | Vector Store loaded successfully.
2026-07-16 20:03:31 | INFO     | SAPIncidentRAG | Retrieving Top-5 documents...
2026-07-16 20:03:31 | INFO     | SAPIncidentRAG | Running similarity search...
2026-07-16 20:03:32 | INFO     | SAPIncidentRAG | Initializing Gemini Chat Model...
2026-07-16 20:03:34 | INFO     | SAPIncidentRAG | Gemini Chat Model Initialized Successfully.
2026-07-16 20:07:25 | INFO     | SAPIncidentRAG | Initializing Gemini Embedding Model...
2026-07-16 20:07:27 | INFO     | SAPIncidentRAG | Gemini Embedding Model Initialized Successfully.
2026-07-16 20:07:27 | INFO     | SAPIncidentRAG | Loading Excel dataset...
2026-07-16 20:07:28 | INFO     | SAPIncidentRAG | Dataset loaded successfully (250 rows).
2026-07-16 20:07:28 | INFO     | SAPIncidentRAG | Dataset schema validated.
2026-07-16 20:07:28 | INFO     | SAPIncidentRAG | Starting data cleaning...
2026-07-16 20:07:28 | INFO     | SAPIncidentRAG | Data cleaning completed.
2026-07-16 20:07:28 | INFO     | SAPIncidentRAG | Building LangChain Documents...
2026-07-16 20:07:28 | INFO     | SAPIncidentRAG | 250 Documents Created
2026-07-16 20:07:28 | INFO     | SAPIncidentRAG | Starting document chunking...
2026-07-16 20:07:28 | INFO     | SAPIncidentRAG | Chunking completed. 250 chunks created.
2026-07-16 20:07:28 | INFO     | SAPIncidentRAG | Loading Chroma Vector Store...
2026-07-16 20:07:28 | INFO     | SAPIncidentRAG | Vector Store loaded successfully.
2026-07-16 20:07:28 | INFO     | SAPIncidentRAG | Retrieving Top-5 documents...
2026-07-16 20:07:28 | INFO     | SAPIncidentRAG | Running similarity search...
2026-07-16 20:07:29 | INFO     | SAPIncidentRAG | Initializing Gemini Chat Model...
2026-07-16 20:07:31 | INFO     | SAPIncidentRAG | Gemini Chat Model Initialized Successfully.
2026-07-16 20:11:01 | INFO     | SAPIncidentRAG | Initializing Gemini Embedding Model...
2026-07-16 20:11:03 | INFO     | SAPIncidentRAG | Gemini Embedding Model Initialized Successfully.
2026-07-16 20:11:03 | INFO     | SAPIncidentRAG | Initializing Gemini Chat Model...
2026-07-16 20:11:04 | INFO     | SAPIncidentRAG | Gemini Chat Model Initialized Successfully.
2026-07-16 20:11:04 | INFO     | SAPIncidentRAG | Loading Excel dataset...
2026-07-16 20:11:05 | INFO     | SAPIncidentRAG | Dataset loaded successfully (250 rows).
2026-07-16 20:11:05 | INFO     | SAPIncidentRAG | Dataset schema validated.
2026-07-16 20:11:05 | INFO     | SAPIncidentRAG | Starting data cleaning...
2026-07-16 20:11:05 | INFO     | SAPIncidentRAG | Data cleaning completed.
2026-07-16 20:11:05 | INFO     | SAPIncidentRAG | Building LangChain Documents...
2026-07-16 20:11:05 | INFO     | SAPIncidentRAG | 250 Documents Created
2026-07-16 20:11:05 | INFO     | SAPIncidentRAG | Starting document chunking...
2026-07-16 20:11:05 | INFO     | SAPIncidentRAG | Chunking completed. 250 chunks created.
2026-07-16 20:11:05 | INFO     | SAPIncidentRAG | Loading Chroma Vector Store...
2026-07-16 20:11:05 | INFO     | SAPIncidentRAG | Vector Store loaded successfully.
2026-07-16 20:13:08 | INFO     | SAPIncidentRAG | Initializing Gemini Embedding Model...
2026-07-16 20:13:14 | INFO     | SAPIncidentRAG | Gemini Embedding Model Initialized Successfully.
2026-07-16 20:13:14 | INFO     | SAPIncidentRAG | Initializing Gemini Chat Model...
2026-07-16 20:13:18 | INFO     | SAPIncidentRAG | Gemini Chat Model Initialized Successfully.
2026-07-16 20:13:18 | INFO     | SAPIncidentRAG | Loading Excel dataset...
2026-07-16 20:13:19 | INFO     | SAPIncidentRAG | Dataset loaded successfully (250 rows).
2026-07-16 20:13:19 | INFO     | SAPIncidentRAG | Dataset schema validated.
2026-07-16 20:13:19 | INFO     | SAPIncidentRAG | Starting data cleaning...
2026-07-16 20:13:19 | INFO     | SAPIncidentRAG | Data cleaning completed.
2026-07-16 20:13:19 | INFO     | SAPIncidentRAG | Building LangChain Documents...
2026-07-16 20:13:19 | INFO     | SAPIncidentRAG | 250 Documents Created
2026-07-16 20:13:19 | INFO     | SAPIncidentRAG | Starting document chunking...
2026-07-16 20:13:19 | INFO     | SAPIncidentRAG | Chunking completed. 250 chunks created.
2026-07-16 20:13:19 | INFO     | SAPIncidentRAG | Loading Chroma Vector Store...
2026-07-16 20:13:19 | INFO     | SAPIncidentRAG | Vector Store loaded successfully.
2026-07-16 20:14:21 | INFO     | SAPIncidentRAG | Retrieving Top-5 documents...
2026-07-16 20:14:21 | INFO     | SAPIncidentRAG | Running similarity search...
2026-07-16 20:14:45 | INFO     | SAPIncidentRAG | Retrieving Top-5 documents...
2026-07-16 20:14:45 | INFO     | SAPIncidentRAG | Running similarity search...
2026-07-16 20:18:25 | INFO     | SAPIncidentRAG | Initializing Gemini Embedding Model...
2026-07-16 20:18:29 | INFO     | SAPIncidentRAG | Gemini Embedding Model Initialized Successfully.
2026-07-16 20:18:29 | INFO     | SAPIncidentRAG | Initializing Gemini Chat Model...
2026-07-16 20:18:33 | INFO     | SAPIncidentRAG | Gemini Chat Model Initialized Successfully.
2026-07-16 20:18:33 | INFO     | SAPIncidentRAG | Loading Excel dataset...
2026-07-16 20:18:33 | INFO     | SAPIncidentRAG | Dataset loaded successfully (250 rows).
2026-07-16 20:18:33 | INFO     | SAPIncidentRAG | Dataset schema validated.
2026-07-16 20:18:33 | INFO     | SAPIncidentRAG | Starting data cleaning...
2026-07-16 20:18:34 | INFO     | SAPIncidentRAG | Data cleaning completed.
